"year","week","temperature7d"
2011,1,-4.11428571428572
2011,2,-3.44285714285715
2011,3,1.74285714285714
2011,4,6.02857142857142
2011,5,2.64285714285714
2011,6,0.557142857142853
2011,7,2.68571428571428
2011,8,4.25714285714285
2011,9,-1.04285714285715
2011,10,-1.7
2011,11,5.15714285714285
2011,12,10.6
2011,13,6.12857142857142
2011,14,10.0428571428571
2011,15,15.5714285714286
2011,16,13.9714285714286
2011,17,11.5714285714286
2011,18,20.8428571428571
2011,19,18.3714285714286
2011,20,15.1
2011,21,20.6
2011,22,20.7285714285714
2011,23,19.8428571428571
2011,24,25.4142857142857
2011,25,23.0428571428571
2011,26,22.4142857142857
2011,27,19.2
2011,28,19.9285714285714
2011,29,23.2428571428571
2011,30,21.7
2011,31,18.3857142857143
2011,32,17.7142857142857
2011,33,22.4714285714286
2011,34,19.4571428571429
2011,35,21.8571428571429
2011,36,22.6714285714286
2011,37,19.6428571428571
2011,38,19.2428571428571
2011,39,18.3857142857143
2011,40,18
2011,41,22.4571428571429
2011,42,16.5857142857143
2011,43,11.9571428571429
2011,44,11.6
2011,45,12.6142857142857
2011,46,12.6714285714286
2011,47,7.52857142857142
2011,48,4.31428571428571
2011,49,6.69999999999999
2011,50,8.27142857142857
2011,51,4.68571428571428
2011,52,4.68571428571428
2012,1,4.48571428571428
2012,2,6.6
2012,3,5.62857142857142
2012,4,4.65714285714285
2012,5,3.17142857142857
2012,6,-1.14285714285715
2012,7,-7.17142857142858
2012,8,-6.91428571428572
2012,9,2.98571428571428
2012,10,6.74285714285714
2012,11,7.69999999999999
2012,12,6.82857142857142
2012,13,11.8857142857143
2012,14,13.0142857142857
2012,15,10.7
2012,16,6.31428571428571
2012,17,11.9
2012,18,13.1571428571429
2012,19,19.7857142857143
2012,20,18.6285714285714
2012,21,18.0571428571429
2012,22,17.0857142857143
2012,23,24.7285714285714
2012,24,16.2285714285714
2012,25,17.8571428571429
2012,26,19.7857142857143
2012,27,21.4
2012,28,20.1857142857143
2012,29,23.5571428571429
2012,30,18.3285714285714
2012,31,18
2012,32,26.5571428571428
2012,33,22.5857142857143
2012,34,19.5428571428571
2012,35,23.5571428571429
2012,36,23.5
2012,37,20.3
2012,38,19.8571428571429
2012,39,20.3
2012,40,16.8714285714286
2012,41,17.6857142857143
2012,42,15.6857142857143
2012,43,11.5857142857143
2012,44,17.1571428571429
2012,45,9.25714285714285
2012,46,7.92857142857142
2012,47,9.84285714285714
2012,48,4.42857142857142
2012,49,6.94285714285714
2012,50,4.37142857142857
2012,51,-1.34285714285715
2012,52,0.0428571428571373
2013,1,7.85714285714285
2013,2,7.14285714285714
2013,3,2.38571428571428
2013,4,-3.84285714285715
2013,5,-4.31428571428572
2013,6,5.99999999999999
2013,7,1.01428571428571
2013,8,0.842857142857138
2013,9,-0.657142857142862
2013,10,3.11428571428571
2013,11,5.32857142857142
2013,12,-0.271428571428577
2013,13,-0.81428571428572
2013,14,1.19999999999999
2013,15,3.11428571428571
2013,16,10.4857142857143
2013,17,17.5857142857143
2013,18,16.1142857142857
2013,19,16.4142857142857
2013,20,19.1285714285714
2013,21,19.4571428571429
2013,22,13.1285714285714
2013,23,16.8714285714286
2013,24,20.5714285714286
2013,25,21.3285714285714
2013,26,26.1
2013,27,16.2714285714286
2013,28,23.0571428571428
2013,29,21.2285714285714
2013,30,24.3428571428571
2013,31,29.3857142857143
2013,32,26.1142857142857
2013,33,22.6
2013,34,22.1428571428571
2013,35,21.1
2013,36,21.2714285714286
2013,37,20.7714285714286
2013,38,15.5
2013,39,14.2857142857143
2013,40,13.3714285714286
2013,41,12.5285714285714
2013,42,13.4714285714286
2013,43,13.2857142857143
2013,44,17.7285714285714
2013,45,12.8428571428571
2013,46,9.88571428571428
2013,47,6.29999999999999
2013,48,5.39999999999999
2013,49,4.49999999999999
2013,50,2.82857142857142
2013,51,4.59999999999999
2013,52,6.37142857142857
2014,1,8.48571428571428
2014,2,5.98571428571428
2014,3,8.41428571428571
2014,4,3.71428571428571
2014,5,-5.40000000000001
2014,6,-0.771428571428577
2014,7,7.01428571428571
2014,8,8.81428571428571
2014,9,8.94285714285714
2014,10,9.91428571428571
2014,11,10.2285714285714
2014,12,12.8857142857143
2014,13,12.9
2014,14,11.7571428571429
2014,15,15.5714285714286
2014,16,13.0285714285714
2014,17,13.3857142857143
2014,18,19.4714285714286
2014,19,14.8857142857143
2014,20,15.7285714285714
2014,21,13.9857142857143
2014,22,23.7571428571428
2014,23,16.8142857142857
2014,24,23
2014,25,21.0285714285714
2014,26,18.6142857142857
2014,27,17.9428571428571
2014,28,23.7428571428571
2014,29,24.4285714285714
2014,30,27.2
2014,31,25.8857142857143
2014,32,25.9
2014,33,24.3142857142857
2014,34,20.4142857142857
2014,35,18.4142857142857
2014,36,19.0714285714286
2014,37,22.1571428571429
2014,38,18.2
2014,39,21.1142857142857
2014,40,15.2285714285714
2014,41,19.1857142857143
2014,42,17.5714285714286
2014,43,16.7714285714286
2014,44,11.2
2014,45,13.6571428571429
2014,46,11.9714285714286
2014,47,10.3571428571429
2014,48,6.84285714285714
2014,49,3.07142857142857
2014,50,1.52857142857142
2014,51,4.97142857142857
2014,52,6.82857142857142
2015,1,4.05714285714285
2015,2,2.94285714285714
2015,3,5.55714285714285
2015,4,6.51428571428571
2015,5,0.657142857142851
2015,6,3.07142857142857
2015,7,0.714285714285708
2015,8,4.49999999999999
2015,9,5.52857142857142
2015,10,6.48571428571428
2015,11,8.12857142857142
2015,12,6.95714285714285
2015,13,10.4571428571429
2015,14,10.7285714285714
2015,15,7.08571428571428
2015,16,13.5714285714286
2015,17,12.9857142857143
2015,18,17.7857142857143
2015,19,13.3285714285714
2015,20,18.0857142857143
2015,21,17.0428571428571
2015,22,18.1285714285714
2015,23,17.2714285714286
2015,24,21.8857142857143
2015,25,22.2571428571428
2015,26,16.6285714285714
2015,27,18.3142857142857
2015,28,29.6714285714286
2015,29,21.6142857142857
2015,30,22.3
2015,31,23.5285714285714
2015,32,20.2714285714286
2015,33,30.5857142857143
2015,34,29.8142857142857
2015,35,23.9
2015,36,23.5714285714286
2015,37,20.8142857142857
2015,38,18.5857142857143
2015,39,20.1428571428571
2015,40,16.9857142857143
2015,41,17.4285714285714
2015,42,12.0428571428571
2015,43,7.15714285714285
2015,44,11.0857142857143
2015,45,12.6428571428571
2015,46,12.9857142857143
2015,47,13.3714285714286
2015,48,9.35714285714285
2015,49,3.45714285714285
2015,50,9.12857142857142
2015,51,7.82857142857142
2015,52,8.85714285714285
2016,1,11.2571428571429
2016,2,0.914285714285708
2016,3,-2.27142857142858
2016,4,2.11428571428571
2016,5,-0.971428571428578
2016,6,8.65714285714285
2016,7,7.37142857142857
2016,8,6.69999999999999
2016,9,4.37142857142857
2016,10,4.94285714285714
2016,11,5.85714285714285
2016,12,5.48571428571428
2016,13,6.91428571428571
2016,14,8.62857142857142
2016,15,12.4714285714286
2016,16,13.7142857142857
2016,17,11.9142857142857
2016,18,10.8714285714286
2016,19,11.2428571428571
2016,20,19.2571428571428
2016,21,19.6142857142857
2016,22,19.1857142857143
2016,23,19.6
2016,24,24.0857142857143
2016,25,22.4
2016,26,18.5857142857143
2016,27,26.3428571428571
2016,28,21.7571428571428
2016,29,21.9
2016,30,20.3142857142857
2016,31,24.1571428571429
2016,32,24.3428571428571
2016,33,19.4714285714286
2016,34,19.9428571428571
2016,35,20.1857142857143
2016,36,26.9285714285714
2016,37,22.5142857142857
2016,38,24.8285714285714
2016,39,25.5571428571428
2016,40,19.3142857142857
2016,41,19.4142857142857
2016,42,12.0857142857143
2016,43,9.25714285714285
2016,44,9.19999999999999
2016,45,10.0714285714286
2016,46,8.25714285714285
2016,47,3.92857142857142
2016,48,6.69999999999999
2016,49,7.18571428571428
2016,50,2.98571428571428
2016,51,5.57142857142856
2016,52,3.02857142857142
2017,1,3.32857142857142
2017,2,5.21428571428571
2017,3,-0.557142857142863
2017,4,0.485714285714279
2017,5,-0.414285714285721
2017,6,0.928571428571422
2017,7,1.04285714285714
2017,8,-2.05714285714286
2017,9,5.45714285714285
2017,10,6.97142857142857
2017,11,9.91428571428571
2017,12,7.08571428571428
2017,13,9.11428571428571
2017,14,10.8571428571429
2017,15,17.2714285714286
2017,16,12.0142857142857
2017,17,11.2142857142857
2017,18,8.15714285714285
2017,19,10.9857142857143
2017,20,13.0285714285714
2017,21,15.1857142857143
2017,22,21.8285714285714
2017,23,21.5428571428571
2017,24,20.9142857142857
2017,25,22
2017,26,21.1857142857143
2017,27,24.1428571428571
2017,28,19.6714285714286
2017,29,20.6857142857143
2017,30,19.8285714285714
2017,31,24.3285714285714
2017,32,21.7285714285714
2017,33,23.7
2017,34,21.4142857142857
2017,35,22.2285714285714
2017,36,19.9428571428571
2017,37,21.7142857142857
2017,38,17.8285714285714
2017,39,16.2571428571428
2017,40,15.7
2017,41,17.3142857142857
2017,42,12.7428571428571
2017,43,15.4571428571429
2017,44,16.3857142857143
2017,45,11.5571428571428
2017,46,10.1428571428571
2017,47,7.29999999999999
2017,48,6.74285714285714
2017,49,7.68571428571428
2017,50,4.01428571428571
2017,51,4.31428571428571
2017,52,2.71428571428571
